Date,Close,Upper_Band,Lower_Band
2022-07-18,72800,74465.92416300454,67124.07583699546
2022-07-19,72800,74684.65230186892,67135.34769813108
2022-07-20,73400,74907.03804267608,67402.96195732392
2022-07-21,73700,74879.28311941435,68090.71688058565
2022-07-22,72100,74920.42910195257,68109.57089804743
2022-07-25,73000,75043.2772911671,68106.7227088329
2022-07-26,72400,75102.88882005391,68127.11117994609
2022-07-27,71900,75138.41386470049,68201.58613529951
2022-07-28,72400,75173.86620660093,68416.13379339907
2022-07-29,74800,75080.67002595699,69259.32997404301
2022-08-01,74000,74772.21978968178,70157.78021031822
2022-08-02,71800,74772.41689228246,70137.58310771754
2022-08-03,76000,75358.5645669367,69801.4354330633
2022-08-04,81700,77954.3266108272,68075.6733891728
2022-08-05,81200,79589.10560714365,67380.89439285635
2022-08-08,82000,81113.24363483749,66926.75636516251
2022-08-09,83200,82626.82338280322,66703.17661719678
