Date,ma_005,ma_010,ma_020,ma_060,ma_120,ma_240
2022-11-03,50510.0,49510.0,49737.5,63424.166666666664,69602.08333333333,86069.79166666667
2022-11-04,50820.0,49655.0,49512.5,62909.166666666664,69309.58333333333,85741.875
2022-11-07,50650.0,49795.0,49460.0,62373.333333333336,69052.5,85418.33333333333
2022-11-08,50810.0,50065.0,49530.0,61845.0,68800.0,85112.08333333333
2022-11-09,50770.0,50505.0,49642.5,61375.0,68548.33333333333,84810.41666666667
2022-11-10,50910.0,50710.0,49817.5,60826.666666666664,68278.33333333333,84492.91666666667
2022-11-11,52590.0,51705.0,50182.5,60430.0,68079.16666666667,84202.08333333333
2022-11-14,54320.0,52485.0,50690.0,60060.0,67896.66666666667,83927.08333333333
2022-11-15,55760.0,53285.0,51155.0,59703.333333333336,67694.16666666667,83652.91666666667
2022-11-16,57060.0,53915.0,51595.0,59360.0,67491.66666666667,83363.75
2022-11-17,58720.0,54815.0,52162.5,59066.666666666664,67312.5,83087.08333333333
2022-11-18,58520.0,55555.0,52605.0,58778.333333333336,67111.66666666667,82815.0
2022-11-21,58080.0,56200.0,52997.5,58470.0,66901.66666666667,82541.25
2022-11-22,57200.0,56480.0,53272.5,58126.666666666664,66673.33333333333,82257.08333333333
2022-11-23,56620.0,56840.0,53672.5,57786.666666666664,66438.33333333333,81978.75
2022-11-24,56280.0,57500.0,54105.0,57476.666666666664,66208.33333333333,81703.33333333333
2022-11-25,55960.0,57240.0,54472.5,57208.333333333336,65978.33333333333,81432.91666666667
2022-11-28,55620.0,56850.0,54667.5,56898.333333333336,65719.16666666667,81158.33333333333
2022-11-29,55940.0,56570.0,54927.5,56606.666666666664,65502.5,80887.08333333333
2022-11-30,56080.0,56350.0,55132.5,56356.666666666664,65293.333333333336,80611.66666666667
2022-12-01,56180.0,56230.0,55522.5,56151.666666666664,65098.333333333336,80342.5
2022-12-02,56340.0,56150.0,55852.5,55933.333333333336,64905.0,80079.58333333333
2022-12-05,57020.0,56320.0,56260.0,55738.333333333336,64750.833333333336,79827.5
2022-12-06,57040.0,56490.0,56485.0,55546.666666666664,64579.166666666664,79567.08333333333
2022-12-07,56860.0,56470.0,56655.0,55338.333333333336,64435.833333333336,79300.41666666667
2022-12-08,56380.0,56280.0,56890.0,55096.666666666664,64295.833333333336,79042.08333333333
